sinhala,english,transliteration,pos,example_si,example_en
එහි කිසිවක් නැත අවදානමක් නැත,there isn t any there s no risk,ehi kisiwak netha awadanamak netha,,,
ඔයා කොහොමද ගෙදරින් එලියට යන්නේ මම එලියට යනවා,how do you get out of the house i walk out,oya kohomada gedarin eliyata yanne mama eliyata yanawa,,,
මම එළියට යනවා ඔබ දොරෙන් එළියට යන්න,i walk out you walk right out the door,mama eliyata yanawa oba doren eliyata yanna,,,
ඔබ ඔහුට මොනවද කියන්නේ ඔහු නිදි කියලා,what do you say to him he s asleep,oba ohuta monawada kiyanne ohu nidi kiyala,,,
අපි කතා කරන ගෙදර මගේ පැත්තේ ධාවන පථය,the driveway s on my side of the house we re talking,api katha karana gedara mage peththe dhawana pathaya,,,
"බෙන්ජමින් සන්සුන් කරන්න, අපි දිගටම මෙහි යමු",calm down benjamin now let s keep going here,benjamin sansun karanna api digatama mehi yamu,,,
"දැන් අපි දිගටම මෙතනට යමු, මට ඇඳුම් ගලවා එකවර කතා කළ හැකිද?",now let s keep going here can i undress and talk at the same time,den api digatama methanata yamu mata endum galawa ekawara katha kala hekida,,,
"නැත, මෙය කොපමණ කාලයක් සිදුවී ඇත්ද යන්න අපට හොඳ නැත",no we don t well how long has this been going on,netha meya kopamana kalayak siduwee ethda yanna apata honda netha,,,
"හොඳයි, මෙය වසර පහක පමණ කාලයක සිට සිදුවෙමින් පවතී",well how long has this been going on about five years,hondayi meya wasara pahaka pamana kalayaka sita siduwemin pawathee,,,
අවුරුදු පහක් විතර. අනේ ඔයා මට විහිළු කරනවාද?,about five years oh no are you kidding me,awurudu pahak withara ane oya mata wihilu karanawada,,,
දැන් ඉඳන් අවුරුද්දකට කීප සැරයක් බීලා යනවා,now and then he gets drunk a few times a year how many times a year,den indan awuruddakata keepa serayak beela yanawa,,,
හරියටම නොවේ නමුත් ඔබ ඔහුට වෛර කරන්නේ නැත,not exactly but you don t hate him,hariyatama nowe namuth oba ohuta waira karanne netha,,,
"හොඳයි, එවිට ඔබට ඔහු ගැන හැඟෙන්නේ කෙසේද?",well how do you feel about him then i don t,hondayi ewita obata ohu gena hengenne keseda,,,
මට හොද නෑ ඒක නරක තත්වයක් එහෙම නේද,i don t well that s kind of a bad situation then isn t it,mata hoda ne eka naraka thathwayak ehema neda,,,
බලන්න ඔයාට හොඳට අනුමාන කරන්න පුළුවන්ද කියලා මට බෑ,see if you can guess well i can t,balanna oyata hondata anumana karanna puluwanda kiyala mata be,,,
මට ඇත්තටම අමාරු බෙන්ජමින් කියලා හිතන්න බෑ,well i can t think real hard benjamin,mata eththatama amaru benjamin kiyala hithanna be,,,
විශේෂයෙන්ම ඔහු එවකට නීති ශිෂ්යයෙක් නොවීය,not particularly was he a law student at the time,wisheshayenma ohu ewakata neethi shishyayek noweeya,,,
ඔයාගේ මේජර් එක මොකක්ද ඔයා මගෙන් මේ හැමදේම අහන්නේ,what was your major why are you asking me all this,oyage mejar eka mokakda oya magen me hemadema ahanne,,,
"හොඳයි, එය සිදු වූයේ කෙසේද?",kind of well how did it happen,hondayi eya sidu wuye keseda,,,
"හොඳයි, එය සිදු වූයේ කෙසේද, ඔබ සිතන්නේ කෙසේද?",well how did it happen how do you think,hondayi eya sidu wuye keseda oba sithanne keseda,,,
"බෙන්ජමින්, මට කුතුහලයක් ඇති විය හැක්කේ කුමක් ද යන්නයි",benjamin what does it possibly matter i m curious,benjamin mata kuthuhalayak ethi wiya hekke kumak da yannayi,,,
මට කුතුහලයක් තියෙනවා අපි එයාගේ කාර් එකට යමු කියලා,i m curious we d go to his car,mata kuthuhalayak thiyenawa api eyage kar ekata yamu kiyala,,,
අපි එයාගේ කාර් එකට යනවා අනේ ඔයා ඒක කරපු කාර් එකේ,we d go to his car oh no in the car you did it,api eyage kar ekata yanawa ane oya eka karapu kar eke,,,
ඔයාට මතකද දෙවියනේ කාර් එක හදපු එක,do you remember the make of the car oh my god,oyata mathakada dewiyane kar eka hadapu eka,,,
අනේ දෙවියනේ මට ඇත්තටම දැනගන්න ඕන,oh my god really i want to know,ane dewiyane mata eththatama denaganna ona,,,
ඇත්තටම මට දැනගන්න ඕන ඒ ෆෝඩ් බෙන්ජමින් කෙනෙක් කියලා,really i want to know it was a ford benjamin,eththatama mata denaganna ona e fod benjamin kenek kiyala,,,
a ford a ford goddamnit a ford ඒක නියමයි ඒ ඇති,a ford a ford goddamnit a ford that s great that s enough,eka niyamayi e ethi,,,
ඉලේන් ගැන කතා කරන්න එපා ඉලේන් ගැන කතා කරන්න එපා,don t talk about elaine don t talk about elaine,ilen gena katha karanna epa ilen gena katha karanna epa,,,
ඇයි නැත්තේ මට ඔයාව ඕන නැති නිසා,why not because i don t want you to,eyi neththe mata oyawa ona nethi nisa,,,
මම කැමතියි ඔබ මට කියන්න දෙයක් නැහැ කියලා,i wish you d tell me there s nothing to tell,mama kemathiyi oba mata kiyanna deyak nehe kiyala,,,
ඔයාට තේරෙනවද ඒක හොඳට බලන්න මට එයාව එලියට ගන්න අදහසක් නෑ,do you understand that well look i have no intention of taking her out,oyata therenawada eka hondata balanna mata eyawa eliyata ganna adahasak ne,,,
නමුත් මට මගේ හේතු නොතිබිය යුත්තේ ඇයි?,but why shouldn t i i have my reasons,namuth mata mage hethu nothibiya yuththe eyi,,,
මට මගේ හේතු තියෙනවා එහෙනම් අපි ඒවා අහමු,i have my reasons then let s hear them,mata mage hethu thiyenawa ehenam api ewa ahamu,,,
මම හොඳින් දන්නේ නැහැ මම නැහැ කියලා,i wouldn t know well i m not,mama hondin danne nehe mama nehe kiyala,,,
හොඳයි මම නොවේ ඔබ නොවේ,well i m not you re not,hondayi mama nowe oba nowe,,,
ඔයා දෙවියනේ හරිද මම,are you you re goddamn right i am,oya dewiyane harida mama,,,
මම කිව්වද ඇත්ත වශයෙන්ම ඔබ කළා,did i say that of course you did,mama kiwwada eththa washayenma oba kala,,,
ඔබ සත්තකින්ම මම එසේ නොකරනු ඇත,you wouldn t of course i wouldn t,oba saththakinma mama ese nokaranu etha,,,
"ඔබට හැඟෙන්නේ එය එසේ නම්, නමුත් එය එසේ නොවේ",if that s how you feel but it s not,obata hengenne eya ese nam namuth eya ese nowe,,,
මට ඉන්න පුළුවන්ද එහෙනම් ඔව් කරුණාකර මට ඔයාව ඕන,may i stay then yes please i want you to,mata inna puluwanda ehenam ow karunakara mata oyawa ona,,,
ඔව් කරුණාකර මට ඔබට ස්තුති කිරීමට අවශ්යයි,yes please i want you to thank you,ow karunakara mata obata sthuthi kireemata awashyayi,,,
ස්තුතියි හොඳයි මට ස්තුති කරන්න එපා මට ඔයාව ඕන නිසා,thank you well don t thank me because i want you to,sthuthiyi hondayi mata sthuthi karanna epa mata oyawa ona nisa,,,
"එවිට මට ඔබේ වචනය දෙන්න, මෙය විකාරයක් නොවේ",then give me your word you won t this is absurd,ewita mata obe wachanaya denna meya wikarayak nowe,,,
මේක විකාර පොරොන්දුවක් මට බෙන්ජමින්,this is absurd promise me benjamin,meka wikara poronduwak mata benjamin,,,
ස්තූතියි බෙන්ජමින් අපි ඒ ගැන කතා නොකර ඉමු අපි කතා නොකරමු,thank you benjamin let s not talk about it let s not talk at all,sthuthiyi benjamin api e gena katha nokara imu api katha nokaramu,,,
රොබින්සන් මහත්මිය මට දේවල් තරමක් අප්රසන්න කළ හැකිය,mrs robinson i can makes things quite unpleasant,robinsan mahathmiya mata dewal tharamak aprasanna kala hekiya,,,
"හෙලෝ, කරුණාකර මට පොලිසිය ගෙන එන්න, කෝ ඊලයින්",hello get me the police please where is elaine,helo karunakara mata polisiya gena enna ko,,,
මම ඇයව හොයාගන්නම් මම එහෙම හිතන්නේ නැහැ,i ll find her i don t think so,mama eyawa hoyagannam mama ehema hithanne nehe,,,
දත් බුරුසුව මට හොඳටම ලැබුණා සර්,the toothbrush i got it all right very good sir,dath burusuwa mata hondatama lebuna sar,,,
ඉතා හොඳයි සර් ඔව් හොඳයි සුභ රාත්රියක්,very good sir yes well goodnight,itha hondayi sar ow hondayi subha rathriyak,,,
ඔව් හොඳයි සුභ රාත්රියක් වේවා සර්,yes well goodnight goodnight sir,ow hondayi subha rathriyak wewa sar,,,
බ්රැඩොක් බ්රැඩොක් ඔව් නමුත් මම බයයි,braddock braddock yes but i m afraid,ow namuth mama bayayi,,,
මම යන විට ඔබට අවශ්ය නැතිනම් මට කියන්න අවශ්ය නැහැ,when i go off you don t have to tell me if you don t want,mama yana wita obata awashya nethinam mata kiyanna awashya nehe,,,
